CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,restaurant_name,thai_boolean
50111220,EL CHARRO BAKERY II,Brooklyn,3379,FULTON STREET,11208,+1-917-676-4185,Bakery Products/Desserts,2021/07/30,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,67.0,N,,8/1/2021,Pre-permit (Operational) / Initial Inspection,40.68402453,-73.87088732,305.0,37.0,118400.0,3092391.0,3041320165.0,BK83,El Charro Bakery Ii,False
41172734,JUNIOR'S RESTAURANT,Manhattan,1515,BROADWAY,10036,+1-212-302-2000,American,2021/07/30,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,12.0,A,7/30/2021,8/1/2021,Cycle Inspection / Initial Inspection,40.75762868,-73.98580348,105.0,3.0,11900.0,1024714.0,1010160036.0,MN17,Junior'S Restaurant,False
50111522,ARABICA COFFEE,Brooklyn,20,OLD FULTON STREET,11201,+1-718-865-2551,Coffee/Tea,2021/07/30,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,12.0,A,7/30/2021,8/1/2021,Pre-permit (Operational) / Initial Inspection,40.70277802,-73.99415008,302.0,33.0,100.0,3000000.0,3002010005.0,BK09,Arabica Coffee,False
41069770,PASTICCERIA BRUNO OF GREENWICH VILLAGE,Staten Island,1650,HYLAN BOULEVARD,10305,+1-718-987-5859,Bakery Products/Desserts,2021/07/30,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,21.0,,,8/1/2021,Cycle Inspection / Initial Inspection,40.58833446,-74.0904854,502.0,50.0,7000.0,5049951.0,5033760033.0,SI36,Pasticceria Bruno Of Greenwich Village,False
40548768,MCDONALD'S,Manhattan,4259,BROADWAY,10033,+1-917-521-0827,Hamburgers,2021/07/30,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,4.0,A,7/30/2021,8/1/2021,Cycle Inspection / Initial Inspection,40.85007394,-73.93585843,112.0,10.0,26500.0,1064280.0,1021760133.0,MN36,Mcdonald'S,False
50109227,SPICY BAI CHUAN RESTAURANT,Brooklyn,6916,18 AVENUE,11204,+1-646-858-7100,Chinese,2021/07/30,Violations were cited in the following area(s).,04A,Food Protection Certificate not held by supervisor of food operations.,Critical,18.0,N,,8/1/2021,Pre-permit (Operational) / Initial Inspection,40.61667423,-73.99267005,311.0,43.0,26000.0,3156700.0,3061600046.0,BK28,Spicy Bai Chuan Restaurant,False
50032887,PARADA 47 MEXICAN RESTAURANT,Manhattan,526,WEST   47 STREET,10036,+1-212-757-3737,Mexican,2021/07/30,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Critical,12.0,A,7/30/2021,8/1/2021,Cycle Inspection / Initial Inspection,40.76326989,-73.99430358,104.0,3.0,12900.0,1026975.0,1010750045.0,MN15,Parada 47 Mexican Restaurant,False
40692741,DELIGHT DONUT,Queens,6691,FRESH POND ROAD,11385,+1-718-628-4708,American,2021/07/30,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,12.0,A,7/30/2021,8/1/2021,Cycle Inspection / Initial Inspection,40.70620385,-73.8967843,405.0,30.0,61301.0,4438878.0,4036190005.0,QN20,Delight Donut,False
50060971,KATCH,Queens,3119,NEWTOWN AVE,11102,+1-914-320-0307,American,2021/07/30,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,12.0,A,7/30/2021,8/1/2021,Cycle Inspection / Initial Inspection,40.76743108,-73.92062418,401.0,22.0,7100.0,4539970.0,4006190014.0,QN71,Katch,False
50016102,CAFE GRUMPY,Manhattan,200,WEST   39 STREET,10018,+1-917-903-3437,Coffee/Tea,2021/07/30,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,5.0,A,7/30/2021,8/1/2021,Cycle Inspection / Initial Inspection,40.75429687,-73.98876752,105.0,3.0,11300.0,1014485.0,1007880049.0,MN17,Cafe Grumpy,False
50108095,KANSAS CHICKEN & BURGER,Brooklyn,1032,NOSTRAND AVENUE,11225,+1-347-649-5481,American,2021/07/30,Violations were cited in the following area(s).,10H,Proper sanitization not provided for utensil ware washing operation.,Not Critical,7.0,A,7/30/2021,8/1/2021,Pre-permit (Operational) / Initial Inspection,40.66323466,-73.95091441,309.0,40.0,32900.0,3034805.0,3013150042.0,BK60,Kansas Chicken & Burger,False
50111522,ARABICA COFFEE,Brooklyn,20,OLD FULTON STREET,11201,+1-718-865-2551,Coffee/Tea,2021/07/30,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,12.0,A,7/30/2021,8/1/2021,Pre-permit (Operational) / Initial Inspection,40.70277802,-73.99415008,302.0,33.0,100.0,3000000.0,3002010005.0,BK09,Arabica Coffee,False
50104136,FLATBUSH  BAGEL,Brooklyn,557,FLATBUSH AVENUE,11225,+1-516-491-5588,Bagels/Pretzels,2021/07/30,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical,30.0,N,,8/1/2021,Pre-permit (Operational) / Initial Inspection,40.66025483,-73.96061219,309.0,40.0,79801.0,3114677.0,3050280001.0,BK60,Flatbush  Bagel,False
41637595,"DUNKIN',' BASKIN ROBBINS",Bronx,4115,3 AVENUE,10457,+1-718-294-5344,Donuts,2021/07/30,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,25.0,,,8/1/2021,Cycle Inspection / Initial Inspection,40.84455368,-73.8972483,206.0,15.0,39500.0,2009598.0,2029230037.0,BX01,"Dunkin',' Baskin Robbins",False
41637595,"DUNKIN',' BASKIN ROBBINS",Bronx,4115,3 AVENUE,10457,+1-718-294-5344,Donuts,2021/07/30,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,25.0,,,8/1/2021,Cycle Inspection / Initial Inspection,40.84455368,-73.8972483,206.0,15.0,39500.0,2009598.0,2029230037.0,BX01,"Dunkin',' Baskin Robbins",False
40377630,JOHNS CAFE & RESTAURANT,Manhattan,823,SECOND AVENUE,10017,+1-212-867-4955,American,2021/07/30,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Critical,25.0,,,8/1/2021,Cycle Inspection / Initial Inspection,40.75102757,-73.97133909,106.0,4.0,8800.0,1037564.0,1013170028.0,MN19,Johns Cafe & Restaurant,False
40649472,PIER 60,Manhattan,,AND WEST SIDE HIGHWAY,10011,+1-212-336-6060,American,2021/07/30,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,2.0,A,7/30/2021,8/1/2021,Cycle Inspection / Initial Inspection,,,,,,,,,Pier 60,False
50102850,LA TAQUERIA,Brooklyn,572,GRAND STREET,11211,+1-212-361-6164,Mexican,2021/07/30,Violations were cited in the following area(s).,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,Not Critical,17.0,N,,8/1/2021,Pre-permit (Operational) / Initial Inspection,40.71111926,-73.94922698,301.0,34.0,51300.0,3069511.0,3027850029.0,BK73,La Taqueria,False
41641278,OLD COUNTRY BAGEL,Queens,16226,CROSS BAY BLVD,11414,+1-718-845-9211,Bagels/Pretzels,2021/07/30,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,42.0,,,8/1/2021,Cycle Inspection / Initial Inspection,40.65357404,-73.83850377,410.0,32.0,89200.0,4294195.0,4140660013.0,QN57,Old Country Bagel,False
50104259,ROYAL COFFEE SHOP,Staten Island,19,CORSON AVENUE,10301,+1-347-861-7671,American,2021/07/30,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,69.0,N,,8/1/2021,Pre-permit (Operational) / Initial Inspection,40.63820724,-74.07936924,501.0,49.0,1100.0,5000296.0,5000180074.0,SI22,Royal Coffee Shop,False
50107792,FORTIS RESTAURANT,Queens,10826,GUY R BREWER BLVD,11433,+1-718-262-9352,Caribbean,2021/07/30,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,12.0,A,7/30/2021,8/1/2021,Pre-permit (Operational) / Re-inspection,40.69602193,-73.79086656,412.0,28.0,26000.0,4216187.0,4101500048.0,QN01,Fortis Restaurant,False
40377294,MCDONALD'S,Queens,7002,COOPER AVENUE,11385,+1-718-497-0722,Hamburgers,2021/07/30,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Critical,9.0,A,7/30/2021,8/1/2021,Cycle Inspection / Initial Inspection,40.7017391,-73.88083222,405.0,30.0,62900.0,4090455.0,4037080033.0,QN19,Mcdonald'S,False
50111220,EL CHARRO BAKERY II,Brooklyn,3379,FULTON STREET,11208,+1-917-676-4185,Bakery Products/Desserts,2021/07/30,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Critical,67.0,N,,8/1/2021,Pre-permit (Operational) / Initial Inspection,40.68402453,-73.87088732,305.0,37.0,118400.0,3092391.0,3041320165.0,BK83,El Charro Bakery Ii,False
50111220,EL CHARRO BAKERY II,Brooklyn,3379,FULTON STREET,11208,+1-917-676-4185,Bakery Products/Desserts,2021/07/30,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,67.0,N,,8/1/2021,Pre-permit (Operational) / Initial Inspection,40.68402453,-73.87088732,305.0,37.0,118400.0,3092391.0,3041320165.0,BK83,El Charro Bakery Ii,False
40364443,CRIMINAL COURT BLDG CAFETERIA,Manhattan,100,CENTRE STREET,10013,+1-212-962-1037,American,2021/07/30,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,17.0,,,8/1/2021,Cycle Inspection / Initial Inspection,40.71607657,-74.0014249,101.0,1.0,2900.0,1079000.0,1001670001.0,MN27,Criminal Court Bldg Cafeteria,False
50104790,EL CHANGARRITO,Brooklyn,602,MARLBOROUGH ROAD,11226,+1-347-771-0235,Spanish,2021/07/30,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,12.0,A,7/30/2021,8/1/2021,Pre-permit (Operational) / Initial Inspection,40.63505314,-73.96328248,314.0,40.0,52000.0,3121147.0,3052350008.0,BK42,El Changarrito,False
40699339,NICK GARDEN COFFEE SHOP,Bronx,2953,WEBSTER AVENUE,10458,+1-718-365-2277,Coffee/Tea,2021/07/30,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,31.0,,,8/1/2021,Cycle Inspection / Initial Inspection,40.86759042,-73.88308647,207.0,11.0,41500.0,2016446.0,2032800061.0,BX05,Nick Garden Coffee Shop,False
41713587,SWEET LEAF,Queens,4615,CENTER BOULEVARD,11109,+1-347-527-1038,Coffee/Tea,2021/07/30,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,32.0,,,8/1/2021,Cycle Inspection / Initial Inspection,40.74723234,-73.9563777,402.0,26.0,100.0,4541715.0,4000210035.0,QN31,Sweet Leaf,False
50052976,ZON BAKERY & CAFE,Manhattan,1275A,SAINT NICHOLAS AVENUE,10033,+1-718-300-2642,Bakery Products/Desserts,2021/07/30,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,72.0,,,8/1/2021,Cycle Inspection / Initial Inspection,40.84458795,-73.93719743,112.0,10.0,26300.0,1063524.0,1021430013.0,MN36,Zon Bakery & Cafe,False
50111132,BUONASERA RESTAURANT PIZZA,Brooklyn,6522,11 AVENUE,11219,+1-718-313-9231,Italian,2021/07/30,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,16.0,N,,8/1/2021,Pre-permit (Operational) / Initial Inspection,40.62845491,-74.00612799,310.0,38.0,21200.0,3142184.0,3057510047.0,BK30,Buonasera Restaurant Pizza,False
40398899,KNAPP ST PIZZA II,Brooklyn,261,AVENUE X,11223,+1-718-376-0174,Pizza,2021/07/30,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,45.0,,,8/1/2021,Cycle Inspection / Initial Inspection,40.59020886,-73.97328784,315.0,47.0,38600.0,3194400.0,3071730042.0,BK26,Knapp St Pizza Ii,False
41623532,MILLENIUM HILTON,Manhattan,55,CHURCH STREET,10007,+1-212-693-2001,American,2021/07/30,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,8.0,A,7/30/2021,8/1/2021,Cycle Inspection / Initial Inspection,40.71144567,-74.01050382,101.0,1.0,1300.0,1075702.0,1000800004.0,MN25,Millenium Hilton,False
41623532,MILLENIUM HILTON,Manhattan,55,CHURCH STREET,10007,+1-212-693-2001,American,2021/07/30,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,8.0,A,7/30/2021,8/1/2021,Cycle Inspection / Initial Inspection,40.71144567,-74.01050382,101.0,1.0,1300.0,1075702.0,1000800004.0,MN25,Millenium Hilton,False
50111220,EL CHARRO BAKERY II,Brooklyn,3379,FULTON STREET,11208,+1-917-676-4185,Bakery Products/Desserts,2021/07/30,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,67.0,N,,8/1/2021,Pre-permit (Operational) / Initial Inspection,40.68402453,-73.87088732,305.0,37.0,118400.0,3092391.0,3041320165.0,BK83,El Charro Bakery Ii,False
40398899,KNAPP ST PIZZA II,Brooklyn,261,AVENUE X,11223,+1-718-376-0174,Pizza,2021/07/30,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical,45.0,,,8/1/2021,Cycle Inspection / Initial Inspection,40.59020886,-73.97328784,315.0,47.0,38600.0,3194400.0,3071730042.0,BK26,Knapp St Pizza Ii,False
50052976,ZON BAKERY & CAFE,Manhattan,1275A,SAINT NICHOLAS AVENUE,10033,+1-718-300-2642,Bakery Products/Desserts,2021/07/30,Violations were cited in the following area(s).,05H,"No facilities available to wash, rinse and sanitize utensils and/or equipment.",Critical,72.0,,,8/1/2021,Cycle Inspection / Initial Inspection,40.84458795,-73.93719743,112.0,10.0,26300.0,1063524.0,1021430013.0,MN36,Zon Bakery & Cafe,False
41368569,TITA'S DONUTS AND COFFEE SHOP,Bronx,1930,GRAND CONCOURSE,10457,+1-718-901-8425,Bakery Products/Desserts,2021/07/30,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,28.0,,,8/1/2021,Cycle Inspection / Initial Inspection,40.85009961,-73.90545937,205.0,15.0,23502.0,2007721.0,2028100001.0,BX41,Tita'S Donuts And Coffee Shop,False
50108809,ZUCKER'S BAGELS FULLTON ST.,Manhattan,125,FULTON STREET,10038,+1-212-661-1080,Other,2021/07/30,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,24.0,N,,8/1/2021,Pre-permit (Operational) / Initial Inspection,40.71002961,-74.00735829,101.0,1.0,1501.0,1079214.0,1000910011.0,MN25,Zucker'S Bagels Fullton St.,False
50107105,FALLSBURGH BAGELS,Brooklyn,4602,16 AVENUE,11204,+1-718-853-3323,Other,2021/07/30,Violations were cited in the following area(s).,05D,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,Critical,59.0,N,,8/1/2021,Pre-permit (Operational) / Initial Inspection,40.63262327,-73.98386664,312.0,44.0,23400.0,3128591.0,3054367504.0,BK88,Fallsburgh Bagels,False
50055215,FRANKLIN 820,Brooklyn,820,FRANKLIN AVENUE,11225,+1-718-708-4113,American,2021/07/30,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical,23.0,,,8/1/2021,Cycle Inspection / Initial Inspection,40.66987445,-73.95826695,309.0,35.0,21300.0,3029675.0,3011850046.0,BK63,Franklin 820,False
50109644,Arlington Cafe,Bronx,5701,ARLINGTON AVENUE,10471,+1-646-523-1516,American,2021/07/30,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Critical,23.0,N,,8/1/2021,Pre-permit (Operational) / Initial Inspection,40.90664757,-73.90684379,208.0,11.0,32300.0,2086311.0,2059520096.0,BX22,Arlington Cafe,False
50052976,ZON BAKERY & CAFE,Manhattan,1275A,SAINT NICHOLAS AVENUE,10033,+1-718-300-2642,Bakery Products/Desserts,2021/07/30,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical,72.0,,,8/1/2021,Cycle Inspection / Initial Inspection,40.84458795,-73.93719743,112.0,10.0,26300.0,1063524.0,1021430013.0,MN36,Zon Bakery & Cafe,False
50052976,ZON BAKERY & CAFE,Manhattan,1275A,SAINT NICHOLAS AVENUE,10033,+1-718-300-2642,Bakery Products/Desserts,2021/07/30,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical,72.0,,,8/1/2021,Cycle Inspection / Initial Inspection,40.84458795,-73.93719743,112.0,10.0,26300.0,1063524.0,1021430013.0,MN36,Zon Bakery & Cafe,False
41485121,BOHEMIAN BEER GARDEN,Queens,2919,24 AVENUE,11102,+1-718-274-4925,Czech,2021/07/30,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,4.0,A,7/30/2021,8/1/2021,Cycle Inspection / Initial Inspection,40.77279112,-73.91610113,401.0,22.0,11500.0,4437011.0,4008420006.0,QN72,Bohemian Beer Garden,False
50052976,ZON BAKERY & CAFE,Manhattan,1275A,SAINT NICHOLAS AVENUE,10033,+1-718-300-2642,Bakery Products/Desserts,2021/07/30,Violations were cited in the following area(s).,05A,Sewage disposal system improper or unapproved.,Critical,72.0,,,8/1/2021,Cycle Inspection / Initial Inspection,40.84458795,-73.93719743,112.0,10.0,26300.0,1063524.0,1021430013.0,MN36,Zon Bakery & Cafe,False
50108027,GARDEN CITY DELI,Manhattan,77,PEARL STREET,10004,+1-646-657-5295,American,2021/07/30,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,73.0,N,,8/1/2021,Cycle Inspection / Initial Inspection,40.70394698,-74.01029705,101.0,1.0,900.0,1000836.0,1000290022.0,MN25,Garden City Deli,False
40366222,KILLARNEY ROSE,Manhattan,80,BEAVER STREET,10005,+1-212-422-1486,Irish,2021/07/30,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,13.0,A,7/30/2021,8/1/2021,Cycle Inspection / Initial Inspection,40.70533871,-74.00869226,101.0,1.0,700.0,1000834.0,1000280015.0,MN25,Killarney Rose,False
50107105,FALLSBURGH BAGELS,Brooklyn,4602,16 AVENUE,11204,+1-718-853-3323,Other,2021/07/30,Violations were cited in the following area(s).,04J,"Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.",Critical,59.0,N,,8/1/2021,Pre-permit (Operational) / Initial Inspection,40.63262327,-73.98386664,312.0,44.0,23400.0,3128591.0,3054367504.0,BK88,Fallsburgh Bagels,False
41713587,SWEET LEAF,Queens,4615,CENTER BOULEVARD,11109,+1-347-527-1038,Coffee/Tea,2021/07/30,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,32.0,,,8/1/2021,Cycle Inspection / Initial Inspection,40.74723234,-73.9563777,402.0,26.0,100.0,4541715.0,4000210035.0,QN31,Sweet Leaf,False
