CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
50111522,ARABICA COFFEE,Brooklyn,20,OLD FULTON STREET,11201,7188652551,Coffee/Tea,7/30/2021,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,12.0,A,7/30/2021,8/1/2021,Pre-permit (Operational) / Initial Inspection,40.70277802,-73.99415008,302.0,33.0,100.0,3000000.0,3002010005.0,BK09
40649472,PIER 60,Manhattan,,AND WEST SIDE HIGHWAY,10011,2123366060,American,7/30/2021,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,2.0,A,7/30/2021,8/1/2021,Cycle Inspection / Initial Inspection,,,,,,,,
50107792,FORTIS RESTAURANT,Queens,10826,GUY R BREWER BLVD,11433,7182629352,Caribbean,7/30/2021,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,12.0,A,7/30/2021,8/1/2021,Pre-permit (Operational) / Re-inspection,40.69602193,-73.79086656,412.0,28.0,26000.0,4216187.0,4101500048.0,QN01
40377294,MCDONALD'S,Queens,7002,COOPER AVENUE,11385,7184970722,Hamburgers,7/30/2021,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Critical,9.0,A,7/30/2021,8/1/2021,Cycle Inspection / Initial Inspection,40.7017391,-73.88083222,405.0,30.0,62900.0,4090455.0,4037080033.0,QN19
50104790,EL CHANGARRITO,Brooklyn,602,MARLBOROUGH ROAD,11226,3477710235,Spanish,7/30/2021,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,12.0,A,7/30/2021,8/1/2021,Pre-permit (Operational) / Initial Inspection,40.63505314,-73.96328248,314.0,40.0,52000.0,3121147.0,3052350008.0,BK42
41623532,MILLENIUM HILTON,Manhattan,55,CHURCH STREET,10007,2126932001,American,7/30/2021,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,8.0,A,7/30/2021,8/1/2021,Cycle Inspection / Initial Inspection,40.71144567,-74.01050382,101.0,1.0,1300.0,1075702.0,1000800004.0,MN25
41623532,MILLENIUM HILTON,Manhattan,55,CHURCH STREET,10007,2126932001,American,7/30/2021,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,8.0,A,7/30/2021,8/1/2021,Cycle Inspection / Initial Inspection,40.71144567,-74.01050382,101.0,1.0,1300.0,1075702.0,1000800004.0,MN25
41485121,BOHEMIAN BEER GARDEN,Queens,2919,24 AVENUE,11102,7182744925,Czech,7/30/2021,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,4.0,A,7/30/2021,8/1/2021,Cycle Inspection / Initial Inspection,40.77279112,-73.91610113,401.0,22.0,11500.0,4437011.0,4008420006.0,QN72
40366222,KILLARNEY ROSE,Manhattan,80,BEAVER STREET,10005,2124221486,Irish,7/30/2021,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,13.0,A,7/30/2021,8/1/2021,Cycle Inspection / Initial Inspection,40.70533871,-74.00869226,101.0,1.0,700.0,1000834.0,1000280015.0,MN25
40529979,ROMEO'S PIZZERIA,Queens,18808,UNION TURNPIKE,11366,7184544223,Pizza,7/30/2021,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,12.0,A,7/30/2021,8/1/2021,Cycle Inspection / Initial Inspection,40.72924819,-73.78096961,408.0,23.0,127700.0,4156312.0,4072660001.0,QN06
40863010,WASHINGTON SQUARE DINER,Manhattan,150,WEST    4 STREET,10012,2125339306,American,7/30/2021,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,13.0,A,7/30/2021,8/1/2021,Cycle Inspection / Initial Inspection,40.7315104,-74.00059174,102.0,1.0,6500.0,1008752.0,1005430042.0,MN23
50107792,FORTIS RESTAURANT,Queens,10826,GUY R BREWER BLVD,11433,7182629352,Caribbean,7/30/2021,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,12.0,A,7/30/2021,8/1/2021,Pre-permit (Operational) / Re-inspection,40.69602193,-73.79086656,412.0,28.0,26000.0,4216187.0,4101500048.0,QN01
50032887,PARADA 47 MEXICAN RESTAURANT,Manhattan,526,WEST   47 STREET,10036,2127573737,Mexican,7/30/2021,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,12.0,A,7/30/2021,8/1/2021,Cycle Inspection / Initial Inspection,40.76326989,-73.99430358,104.0,3.0,12900.0,1026975.0,1010750045.0,MN15
41277471,STARBUCKS COFFEE,Manhattan,315,7 AVENUE,10001,6463366422,Coffee/Tea,7/30/2021,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical,7.0,A,7/30/2021,8/1/2021,Cycle Inspection / Initial Inspection,40.74707851,-73.99345685,105.0,3.0,9500.0,1015096.0,1008037501.0,MN17
40609678,BURGER KING,Staten Island,2800,HYLAN BOULEVARD,10306,7189801528,Hamburgers,7/30/2021,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,5.0,A,7/30/2021,8/1/2021,Cycle Inspection / Initial Inspection,40.56431105,-74.11594162,502.0,50.0,12806.0,5149460.0,5039830142.0,SI25
40609678,BURGER KING,Staten Island,2800,HYLAN BOULEVARD,10306,7189801528,Hamburgers,7/30/2021,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,5.0,A,7/30/2021,8/1/2021,Cycle Inspection / Initial Inspection,40.56431105,-74.11594162,502.0,50.0,12806.0,5149460.0,5039830142.0,SI25
40609678,BURGER KING,Staten Island,2800,HYLAN BOULEVARD,10306,7189801528,Hamburgers,7/30/2021,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,5.0,A,7/30/2021,8/1/2021,Cycle Inspection / Initial Inspection,40.56431105,-74.11594162,502.0,50.0,12806.0,5149460.0,5039830142.0,SI25
50032887,PARADA 47 MEXICAN RESTAURANT,Manhattan,526,WEST   47 STREET,10036,2127573737,Mexican,7/30/2021,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12.0,A,7/30/2021,8/1/2021,Cycle Inspection / Initial Inspection,40.76326989,-73.99430358,104.0,3.0,12900.0,1026975.0,1010750045.0,MN15
50032887,PARADA 47 MEXICAN RESTAURANT,Manhattan,526,WEST   47 STREET,10036,2127573737,Mexican,7/30/2021,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12.0,A,7/30/2021,8/1/2021,Cycle Inspection / Initial Inspection,40.76326989,-73.99430358,104.0,3.0,12900.0,1026975.0,1010750045.0,MN15
41579661,DUNKIN,Bronx,3421,EAST TREMONT AVENUE,10465,7188236660,Donuts,7/30/2021,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical,12.0,A,7/30/2021,8/1/2021,Cycle Inspection / Initial Inspection,40.83266017,-73.82793102,210.0,13.0,16400.0,2076429.0,2054190114.0,BX52
40397723,WHITE CASTLE,Staten Island,2221,HYLAN BOULEVARD,10306,7189802840,Hamburgers,7/30/2021,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,10.0,A,7/30/2021,8/1/2021,Cycle Inspection / Initial Inspection,40.57630363,-74.10389973,502.0,50.0,12200.0,5136038.0,5036140001.0,SI45
41455844,BAKERY DE PARIS,Queens,42-35,162 STREET,11358,7183536808,Coffee/Tea,7/30/2021,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,12.0,A,7/30/2021,8/1/2021,Cycle Inspection / Initial Inspection,40.75966634,-73.80406882,407.0,20.0,118500.0,4537255.0,4053930006.0,QN52
40399672,BAGELS & CREAM CAFE,Queens,8002,SURREY PLACE,11432,7189692640,Bakery Products/Desserts,7/30/2021,Violations were cited in the following area(s).,09C,Food contact surface not properly maintained.,Not Critical,12.0,A,7/30/2021,8/1/2021,Cycle Inspection / Initial Inspection,40.72635735,-73.78944689,408.0,24.0,127700.0,4155424.0,4072270036.0,QN06
50060864,SAPPORO ICHIBAN,Brooklyn,622,MANHATTAN AVENUE,11222,7183899697,Japanese,7/30/2021,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,7.0,A,7/30/2021,8/1/2021,Cycle Inspection / Initial Inspection,40.72346034,-73.95060291,301.0,33.0,56900.0,3066767.0,3026800053.0,BK76
50085645,BROOKLYN TEA,Brooklyn,524,NOSTRAND AVENUE,11216,7708917032,Coffee/Tea,7/30/2021,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,4.0,A,7/30/2021,8/1/2021,Cycle Inspection / Initial Inspection,40.6808254,-73.94967197,303.0,36.0,24500.0,3053218.0,3018480017.0,BK75
40398138,PADDY QUINNS,Queens,42-07,162 STREET,11358,7183599820,American,7/30/2021,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,7.0,A,7/30/2021,8/1/2021,Cycle Inspection / Initial Inspection,40.75997094,-73.80402821,407.0,20.0,118500.0,4121766.0,4053930116.0,QN52
41682323,DUNKIN,Brooklyn,4912,FORT HAMILTON PARKWAY,11219,3474924294,Donuts,7/30/2021,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,6.0,A,7/30/2021,8/1/2021,Cycle Inspection / Initial Inspection,40.63825942,-73.99783453,312.0,44.0,11400.0,3137606.0,3056390014.0,BK88
50108656,CYPRESS CAFE LLC,Queens,1702,STANHOPE STREET,11385,9293970406,Coffee/Tea,7/30/2021,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,9.0,A,7/30/2021,8/1/2021,Pre-permit (Operational) / Initial Inspection,40.70580182,-73.91531293,405.0,34.0,54500.0,4081837.0,4034290001.0,QN20
41623532,MILLENIUM HILTON,Manhattan,55,CHURCH STREET,10007,2126932001,American,7/30/2021,Violations were cited in the following area(s).,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn in an area where food is prepared.,Critical,8.0,A,7/30/2021,8/1/2021,Cycle Inspection / Initial Inspection,40.71144567,-74.01050382,101.0,1.0,1300.0,1075702.0,1000800004.0,MN25
40398138,PADDY QUINNS,Queens,42-07,162 STREET,11358,7183599820,American,7/30/2021,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,7.0,A,7/30/2021,8/1/2021,Cycle Inspection / Initial Inspection,40.75997094,-73.80402821,407.0,20.0,118500.0,4121766.0,4053930116.0,QN52
41130819,TARALLUCCI E VINO,Manhattan,15,EAST   18 STREET,10003,2122285400,Italian,7/30/2021,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,6.0,A,7/30/2021,8/1/2021,Cycle Inspection / Initial Inspection,40.73811119,-73.99085599,105.0,2.0,5200.0,1080753.0,1008470016.0,MN13
40548768,MCDONALD'S,Manhattan,4259,BROADWAY,10033,9175210827,Hamburgers,7/30/2021,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,4.0,A,7/30/2021,8/1/2021,Cycle Inspection / Initial Inspection,40.85007394,-73.93585843,112.0,10.0,26500.0,1064280.0,1021760133.0,MN36
50085809,OXIDO,Manhattan,1450,BROADWAY,10018,5512068450,Mexican,7/30/2021,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Critical,7.0,A,7/30/2021,8/1/2021,Cycle Inspection / Initial Inspection,40.7549197,-73.9866595,105.0,4.0,11300.0,1022568.0,1009930047.0,MN17
40863010,WASHINGTON SQUARE DINER,Manhattan,150,WEST    4 STREET,10012,2125339306,American,7/30/2021,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,13.0,A,7/30/2021,8/1/2021,Cycle Inspection / Initial Inspection,40.7315104,-74.00059174,102.0,1.0,6500.0,1008752.0,1005430042.0,MN23
50001699,ASTORIA TAVERN,Queens,33-16,23 AVENUE,11105,3478134954,Irish,7/30/2021,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,5.0,A,7/30/2021,8/1/2021,Cycle Inspection / Initial Inspection,40.77350144,-73.91167382,401.0,22.0,11700.0,4017109.0,4008340034.0,QN72
41178124,CAFE 57,Manhattan,300,WEST   57 STREET,10019,2126492729,American,7/30/2021,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,4.0,A,7/30/2021,8/1/2021,Cycle Inspection / Initial Inspection,40.76643902,-73.98332508,104.0,3.0,13900.0,1025451.0,1010477502.0,MN15
41172734,JUNIOR'S RESTAURANT,Manhattan,1515,BROADWAY,10036,2123022000,American,7/30/2021,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,12.0,A,7/30/2021,8/1/2021,Cycle Inspection / Initial Inspection,40.75762868,-73.98580348,105.0,3.0,11900.0,1024714.0,1010160036.0,MN17
50104790,EL CHANGARRITO,Brooklyn,602,MARLBOROUGH ROAD,11226,3477710235,Spanish,7/30/2021,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical,12.0,A,7/30/2021,8/1/2021,Pre-permit (Operational) / Initial Inspection,40.63505314,-73.96328248,314.0,40.0,52000.0,3121147.0,3052350008.0,BK42
40424410,HIGHWAY BAGELS,Brooklyn,1921,KINGS HIGHWAY,11229,7183369200,Bagels/Pretzels,7/30/2021,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,8.0,A,7/30/2021,8/1/2021,Cycle Inspection / Initial Inspection,40.61037981,-73.95436054,315.0,48.0,55000.0,3182512.0,3067820009.0,BK44
40424410,HIGHWAY BAGELS,Brooklyn,1921,KINGS HIGHWAY,11229,7183369200,Bagels/Pretzels,7/30/2021,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,8.0,A,7/30/2021,8/1/2021,Cycle Inspection / Initial Inspection,40.61037981,-73.95436054,315.0,48.0,55000.0,3182512.0,3067820009.0,BK44
40377294,MCDONALD'S,Queens,7002,COOPER AVENUE,11385,7184970722,Hamburgers,7/30/2021,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,9.0,A,7/30/2021,8/1/2021,Cycle Inspection / Initial Inspection,40.7017391,-73.88083222,405.0,30.0,62900.0,4090455.0,4037080033.0,QN19
40863010,WASHINGTON SQUARE DINER,Manhattan,150,WEST    4 STREET,10012,2125339306,American,7/30/2021,Violations were cited in the following area(s).,09B,Thawing procedures improper.,Not Critical,13.0,A,7/30/2021,8/1/2021,Cycle Inspection / Initial Inspection,40.7315104,-74.00059174,102.0,1.0,6500.0,1008752.0,1005430042.0,MN23
50108095,KANSAS CHICKEN & BURGER,Brooklyn,1032,NOSTRAND AVENUE,11225,3476495481,American,7/30/2021,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,7.0,A,7/30/2021,8/1/2021,Pre-permit (Operational) / Initial Inspection,40.66323466,-73.95091441,309.0,40.0,32900.0,3034805.0,3013150042.0,BK60
41525768,THE WEST CAFE,Brooklyn,379,UNION AVENUE,11211,7185991704,American,7/30/2021,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,10.0,A,7/30/2021,8/1/2021,Cycle Inspection / Initial Inspection,40.71189692,-73.95128244,301.0,34.0,51300.0,3062553.0,3023750024.0,BK73
50059061,POPEYES,Brooklyn,5100,KINGS PLAZA,11234,7183773508,Chicken,7/30/2021,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,5.0,A,7/30/2021,8/1/2021,Cycle Inspection / Initial Inspection,40.60992885,-73.92228162,318.0,46.0,69800.0,3326830.0,3084700055.0,BK45
41455844,BAKERY DE PARIS,Queens,42-35,162 STREET,11358,7183536808,Coffee/Tea,7/30/2021,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Critical,12.0,A,7/30/2021,8/1/2021,Cycle Inspection / Initial Inspection,40.75966634,-73.80406882,407.0,20.0,118500.0,4537255.0,4053930006.0,QN52
40529979,ROMEO'S PIZZERIA,Queens,18808,UNION TURNPIKE,11366,7184544223,Pizza,7/30/2021,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,12.0,A,7/30/2021,8/1/2021,Cycle Inspection / Initial Inspection,40.72924819,-73.78096961,408.0,23.0,127700.0,4156312.0,4072660001.0,QN06
50000134,DYNACO,Brooklyn,1112,BEDFORD AVENUE,11216,9173098727,American,7/30/2021,Violations were cited in the following area(s).,04C,Food worker does not use proper utensil to eliminate bare hand contact with food that will not receive adequate additional heat treatment.,Critical,7.0,A,7/30/2021,8/1/2021,Cycle Inspection / Initial Inspection,40.68667931,-73.95458576,303.0,36.0,22900.0,3335042.0,3019710033.0,BK69
40366222,KILLARNEY ROSE,Manhattan,80,BEAVER STREET,10005,2124221486,Irish,7/30/2021,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,13.0,A,7/30/2021,8/1/2021,Cycle Inspection / Initial Inspection,40.70533871,-74.00869226,101.0,1.0,700.0,1000834.0,1000280015.0,MN25
41579661,DUNKIN,Bronx,3421,EAST TREMONT AVENUE,10465,7188236660,Donuts,7/30/2021,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,12.0,A,7/30/2021,8/1/2021,Cycle Inspection / Initial Inspection,40.83266017,-73.82793102,210.0,13.0,16400.0,2076429.0,2054190114.0,BX52
